"Title","Unemployment rate (aged 16 and over, seasonally adjusted)"
"CDID","MGSX"
"PreUnit",""
"Unit","%"
"Release date","18-10-2017"
"Next release","15 November 2017"
"1971 JAN-MAR","3.8"
"1971 FEB-APR","3.9"
"1971 MAR-MAY","4.0"
"1971 APR-JUN","4.1"
"1971 MAY-JUL","4.1"
"1971 JUN-AUG","4.2"
"1971 JUL-SEP","4.2"
"1971 AUG-OCT","4.3"
"1971 SEP-NOV","4.4"
"1971 OCT-DEC","4.4"
"1971 NOV-JAN","4.5"
"1971 DEC-FEB","4.5"
"1972 JAN-MAR","4.5"
"1972 FEB-APR","4.5"
"1972 MAR-MAY","4.5"
"1972 APR-JUN","4.4"
"1972 MAY-JUL","4.4"
"1972 JUN-AUG","4.3"
"1972 JUL-SEP","4.3"
"1972 AUG-OCT","4.2"
"1972 SEP-NOV","4.2"
"1972 OCT-DEC","4.2"
"1972 NOV-JAN","4.1"
"1972 DEC-FEB","4.0"
"1973 JAN-MAR","3.9"
"1973 FEB-APR","3.8"
"1973 MAR-MAY","3.8"
"1973 APR-JUN","3.7"
"1973 MAY-JUL","3.7"
"1973 JUN-AUG","3.6"
"1973 JUL-SEP","3.6"
"1973 AUG-OCT","3.5"
"1973 SEP-NOV","3.5"
"1973 OCT-DEC","3.4"
"1973 NOV-JAN","3.4"
"1973 DEC-FEB","3.5"
"1974 JAN-MAR","3.6"
"1974 FEB-APR","3.6"
"1974 MAR-MAY","3.6"
"1974 APR-JUN","3.6"
"1974 MAY-JUL","3.6"
"1974 JUN-AUG","3.7"
"1974 JUL-SEP","3.7"
"1974 AUG-OCT","3.7"
"1974 SEP-NOV","3.7"
"1974 OCT-DEC","3.7"
"1974 NOV-JAN","3.8"
"1974 DEC-FEB","3.9"
"1975 JAN-MAR","4.0"
"1975 FEB-APR","4.1"
"1975 MAR-MAY","4.2"
"1975 APR-JUN","4.3"
"1975 MAY-JUL","4.5"
"1975 JUN-AUG","4.6"
"1975 JUL-SEP","4.7"
"1975 AUG-OCT","4.8"
"1975 SEP-NOV","4.9"
"1975 OCT-DEC","5.0"
"1975 NOV-JAN","5.1"
"1975 DEC-FEB","5.2"
"1976 JAN-MAR","5.3"
"1976 FEB-APR","5.3"
"1976 MAR-MAY","5.4"
"1976 APR-JUN","5.4"
"1976 MAY-JUL","5.4"
"1976 JUN-AUG","5.4"
"1976 JUL-SEP","5.5"
"1976 AUG-OCT","5.5"
"1976 SEP-NOV","5.5"
"1976 OCT-DEC","5.5"
"1976 NOV-JAN","5.5"
